personid,post,performance,age,tenure,grosswage,children,bedroom,commute,men,married,wfh
31230,0,.15558065,24,24,2.9393754,0,yes,200,0,1,1
31230,1,-.76511496,24,24,2.9393754,0,yes,200,0,1,1
31292,0,.7668246,27,24,3.6276512,0,yes,135,0,0,1
31292,1,1.1412451,27,24,3.6276512,0,yes,135,0,0,1
31796,0,.83750254,24,24,3.8672733,0,yes,120,0,1,1
31796,1,-.54856455,24,24,3.8672733,0,yes,120,0,1,1
31922,0,.33645469,26,23,2.7839034,0,yes,35,0,0,0
31922,1,-.15983465,26,23,2.7839034,0,yes,35,0,0,0
31936,0,-.28226873,25,23,2.4034512,0,yes,75,1,0,1
31936,1,-.17090698,25,23,2.4034512,0,yes,75,1,0,1
32590,0,-.59988534,28,23,2.6732466,0,yes,100,1,0,1
32590,1,-1.4817407,28,23,2.6732466,0,yes,100,1,0,1
33094,0,-1.2482141,23,22,3.1238844,0,yes,45,1,0,0
33094,1,-1.3077489,23,22,3.1238844,0,yes,45,1,0,0
33350,0,-.9045217,26,22,2.8910179,0,yes,120,1,0,1
33350,1,-.77840728,26,22,2.8910179,0,yes,120,1,0,1
33352,0,-1.4336709,20,22,1.8107578,0,yes,120,1,0,0
33352,1,-1.7872596,20,22,1.8107578,0,yes,120,1,0,0
33406,0,-.092345588,28,22,2.5894167,0,yes,60,0,0,0
33406,1,-1.0453409,28,22,2.5894167,0,yes,60,0,0,0
33410,0,-.14113751,25,22,2.6481922,1,yes,14,1,1,0
33410,1,-.99768186,25,22,2.6481922,1,yes,14,1,1,0
33874,0,-.11658895,22,22,2.8625379,0,yes,24,0,0,0
33874,1,-.42283911,22,22,2.8625379,0,yes,24,0,0,0
34396,0,-1.4470109,24,21,3.7040522,0,yes,40,0,0,0
34396,1,-1.1450118,24,21,3.7040522,0,yes,40,0,0,0
34526,0,-.42651108,27,21,2.3073802,1,yes,180,0,1,0
34526,1,-1.0275688,27,21,2.3073802,1,yes,180,0,1,0
34956,0,-.56146455,23,21,2.1504068,0,yes,16,0,0,0
34956,1,-1.3327494,23,21,2.1504068,0,yes,16,0,0,0
35344,0,.43649644,22,20,2.8727365,0,yes,60,0,0,1
35344,1,.80776411,22,20,2.8727365,0,yes,60,0,0,1
35760,0,-.81275809,24,20,3.7003267,0,yes,2.5999999,1,1,0
35760,1,-1.220034,24,20,3.7003267,0,yes,2.5999999,1,1,0
36032,0,-.05893892,22,19,2.3757291,0,yes,120,1,0,1
36032,1,.13813949,22,19,2.3757291,0,yes,120,1,0,1
36060,0,-.78179502,24,19,2.2917278,0,yes,35,0,0,0
36060,1,-.41646811,24,19,2.2917278,0,yes,35,0,0,0
36306,0,-.6215266,26,19,3.2344944,0,yes,80,1,0,1
36306,1,-.073541924,26,19,3.2344944,0,yes,80,1,0,1
36318,0,1.2799393,26,19,3.2498155,0,yes,120,0,0,0
36318,1,1.0159365,26,19,3.2498155,0,yes,120,0,0,0
36494,0,-.71516055,23,18,2.1946733,0,yes,40,0,0,1
36494,1,-.72132891,23,18,2.1946733,0,yes,40,0,0,1
36908,0,.36568537,23,15,2.7428231,0,yes,60,1,0,1
36908,1,.3903172,23,15,2.7428231,0,yes,60,1,0,1
37294,0,-.03769717,20,13,2.2425222,0,yes,80,0,0,1
37294,1,.47120082,20,13,2.2425222,0,yes,80,0,0,1
37296,0,-.1201145,29,13,2.5851912,0,yes,80,1,0,1
37296,1,-.58302444,29,13,2.5851912,0,yes,80,1,0,1
37784,0,.37780115,19,12,2.465909,0,yes,105,0,0,1
37784,1,.099304408,19,12,2.465909,0,yes,105,0,0,1
37804,0,-.023898713,21,12,2.4997599,0,yes,120,0,0,1
37804,1,-1.1362374,21,12,2.4997599,0,yes,120,0,0,1
37824,0,.34887341,19,12,2.687099,0,yes,20,0,0,0
37824,1,-.073081911,19,12,2.687099,0,yes,20,0,0,0
37840,0,-.20379853,18,12,1.98746,0,yes,30,1,0,1
37840,1,-.33444458,18,12,1.98746,0,yes,30,1,0,1
38018,0,.12782851,25,78,2.4711423,0,yes,120,0,0,1
38018,1,-.77836788,25,78,2.4711423,0,yes,120,0,0,1
38022,0,-.065893233,18,11,1.9928434,0,yes,20,0,0,1
38022,1,-.70219392,18,11,1.9928434,0,yes,20,0,0,1
38024,0,-.16710941,25,11,2.6940653,0,yes,40,1,0,0
38024,1,.94682163,25,11,2.6940653,0,yes,40,1,0,0
38028,0,1.2408035,21,11,4.081461,0,yes,20,1,0,1
38028,1,1.6351235,21,11,4.081461,0,yes,20,1,0,1
38030,0,-.38228357,27,11,2.2042091,0,yes,240,1,0,0
38030,1,-1.0235006,27,11,2.2042091,0,yes,240,1,0,0
38034,0,-.51667172,19,11,1.8545834,0,yes,40,1,0,0
38034,1,-1.2453079,19,11,1.8545834,0,yes,40,1,0,0
38038,0,-.062686689,35,11,3.7505789,1,yes,50,1,1,1
38038,1,-.31507087,35,11,3.7505789,1,yes,50,1,1,1
